"ID";"NederlandseEconomie";"Perioden";"CO2_1";"N2O_2";"CH4_3";"BroeikasgasEquivalent_4";"NOx_5";"SO2_6";"NH3_7";"ZuurEquivalent_8";"CFK12Equivalent_9";"CO_10";"NMVOS_11";"PM10_12"
"108";"B000581";"2008JJ00";"22304";"0.3";"20.1";"23272";"15.1";"0.4";"9.4";"0.9";"12.3";"88.1";"48.8";"4.8"
"109";"B000581";"2009JJ00";"22238";"0.4";"20.1";"23226";"14.7";"0.5";"9.4";"0.9";"9.3";"88.3";"48.5";"4.8"
"110";"B000581";"2010JJ00";"25575";"0.4";"22.5";"26624";"15.8";"0.5";"9.8";"0.9";"6.4";"89.6";"48.9";"4.8"
"111";"B000581";"2011JJ00";"20424";"0.3";"18.9";"21405";"12.6";"0.4";"10.1";"0.9";"3.4";"87.1";"47.2";"4.6"
"112";"B000581";"2012JJ00";"21620";"0.3";"19.7";"22606";"12.6";"0.4";"10.4";"0.9";"0.4";"85.3";"48.5";"4.5"
"113";"B000581";"2013JJ00";"22829";"0.3";"20.5";"23830";"12.5";"0.4";"11.1";"0.9";"0";"84.7";"48.5";"4.4"
"114";"B000581";"2014JJ00";"17595";"0.3";"16.8";"18499";"10";"0.4";"10.5";"0.9";"0";"81";"47.9";"4.4"
"115";"B000581";"2015JJ00";"18623";"0.3";"17.4";"19546";"10";"0.4";"10.6";"0.8";"0";"79.4";"47.3";"4.2"
"116";"B000581";"2016JJ00";"19294";"0.3";"17.9";"20229";"9.7";"0.4";"10.8";"0.9";"0";"77.8";"47";"4.1"
"117";"B000581";"2017JJ00";"18802";"0.3";"17.4";"19717";"8.8";"0.4";"10.6";"0.8";"0";"75.5";"46.8";"4"
"118";"B000581";"2018JJ00";"18684";"0.4";"17.3";"19572";"8.6";"0.4";"11.1";"0.9";"0";"73.4";"46.9";"3.9"
"119";"B000581";"2019JJ00";"17971";"0.4";"16.7";"18843";"8.2";"0.4";"11.1";"0.8";"0";"70";"47";"3.7"
"120";"T001081";"1990JJ00";"140408";"60.4";"698.5";"184131";"620.3";"248.4";"336";"41";"5471.3";"482.8";"409.2";"65.9"
"121";"T001081";"1991JJ00";"146176";"60.9";"713.3";"189033";"609.5";"213.4";"340.2";"39.9";"4494.7";"530";"385.8";"62.6"
"122";"T001081";"1992JJ00";"148154";"61.7";"711";"192226";"620.6";"212.5";"281.4";"36.7";"3518.1";"550.6";"362.1";"59.9"
"123";"T001081";"1993JJ00";"147883";"62.5";"708.7";"192853";"616.7";"207.4";"295.6";"37.3";"2541.5";"537.2";"339";"56.9"
"124";"T001081";"1994JJ00";"151272";"60.9";"686.5";"197028";"602.6";"198.4";"262.9";"34.7";"1564.8";"489";"314.9";"53.7"
"125";"T001081";"1995JJ00";"151526";"60.4";"681.8";"196379";"589.1";"197.5";"210.2";"31.3";"588.2";"407";"289.2";"50.7"
"126";"T001081";"1996JJ00";"157142";"60.5";"667.6";"203942";"581";"191.9";"164.8";"28.3";"431.3";"397.5";"273.8";"47.2"
"127";"T001081";"1997JJ00";"156455";"59.7";"620.8";"202689";"571.9";"181.6";"161.3";"27.6";"319.4";"368.7";"253.4";"44.9"
"128";"T001081";"1998JJ00";"159318";"57.8";"611.6";"205510";"567.4";"181";"148.1";"26.7";"205.2";"357.8";"250";"43.6"
"129";"T001081";"1999JJ00";"156905";"55.5";"599.1";"196211";"591.2";"185.8";"143.4";"27.1";"196.5";"348";"244.2";"45.4"
"130";"T001081";"2000JJ00";"158669";"53.8";"578.3";"195557";"581.3";"172.4";"161.8";"27.5";"183";"336.9";"235.6";"43.5"
"131";"T001081";"2001JJ00";"163174";"50.6";"573.4";"196214";"575.4";"170.3";"154.2";"26.9";"168.5";"343";"212.9";"42.1"
"132";"T001081";"2002JJ00";"162898";"47.9";"547.7";"195071";"555.4";"154.6";"147.1";"25.5";"146.8";"328.4";"201.9";"40.4"
"133";"T001081";"2003JJ00";"165331";"47.5";"537.9";"195265";"559.6";"151.9";"143.5";"25.3";"122.8";"320.1";"197.8";"38.3"
"134";"T001081";"2004JJ00";"168708";"48.9";"536.9";"198720";"555.4";"150.4";"141.9";"25.1";"117.4";"339";"182.4";"37"
"135";"T001081";"2005JJ00";"167121";"48.7";"539.1";"196913";"552.7";"154.6";"138.2";"25";"111.9";"329.3";"189.1";"36.6"
"136";"T001081";"2006JJ00";"160750";"48.6";"538.8";"190703";"510.2";"136.4";"141.4";"23.7";"106.3";"336.3";"182.5";"33.9"
"137";"T001081";"2007JJ00";"164632";"43.1";"558.4";"193630";"521.8";"142";"138.2";"23.9";"100.5";"326.5";"185.6";"34.6"
"138";"T001081";"2008JJ00";"166683";"30.4";"579.3";"192426";"519.1";"118.2";"125.8";"22.4";"94.6";"334.6";"181.9";"33.1"
"139";"T001081";"2009JJ00";"162079";"29.7";"579.2";"187598";"479.6";"100.1";"123.3";"20.8";"88.7";"289.8";"184.4";"30.9"
"140";"T001081";"2010JJ00";"170339";"28.7";"586.5";"196114";"466.1";"86.5";"119.3";"19.8";"82.8";"294.8";"194.4";"29.4"
"141";"T001081";"2011JJ00";"163373";"28";"579";"188473";"437.1";"69";"115.9";"18.5";"77.1";"281.3";"193.9";"27.3"
"142";"T001081";"2012JJ00";"161158";"27.6";"571";"185827";"434.1";"62";"109.9";"17.8";"71.4";"272.3";"191.1";"26.4"
"143";"T001081";"2013JJ00";"159353";"28.2";"577.5";"183974";"434.3";"68.3";"108.7";"18";"68.5";"253.1";"188.7";"26.1"
"144";"T001081";"2014JJ00";"159002";"28.7";"574.4";"183243";"423.3";"58.9";"113";"17.7";"66.1";"244.3";"179.1";"26.1"
"145";"T001081";"2015JJ00";"164998";"29.5";"589.8";"190050";"410.1";"50.6";"114.3";"17.2";"64";"245.4";"187.5";"24.8"
"146";"T001081";"2016JJ00";"162720";"28.5";"602.2";"187597";"398.3";"40.5";"114";"16.6";"62.1";"241.2";"185.9";"23.4"
"147";"T001081";"2017JJ00";"161161";"29.1";"598.4";"186019";"389.9";"39";"117.7";"16.6";"60.3";"233.9";"186.2";"23"
"148";"T001081";"2018JJ00";"157725";"28.1";"573.9";"181794";"384.7";"36.4";"115.4";"16.3";"58.8";"238";"174.3";"22.4"
"149";"T001081";"2019JJ00";"156028";"27.8";"568.2";"180009";"374.3";"33.5";"111.8";"15.7";"58.8";"235.6";"171.4";"21.8"
"150";"301000 ";"1990JJ00";"10250";"34.3";"589.8";"35224";"95.8";"5.3";"330.5";"21.7";"0";"13.2";"104.5";"7.2"
"151";"301000 ";"1991JJ00";"11228";"34.8";"598.9";"36581";"97.7";"5.1";"334.4";"21.9";"0";"13.5";"98.4";"7.1"
"152";"301000 ";"1992JJ00";"10950";"35.3";"595.3";"36366";"97.2";"5";"275.4";"18.5";"0";"13.5";"92";"7.1"
"153";"301000 ";"1993JJ00";"11433";"34.5";"591.2";"36484";"99.8";"4.9";"289.8";"19.4";"0";"13.7";"86";"7.1"
"154";"301000 ";"1994JJ00";"10871";"33.3";"571.6";"35072";"101.1";"5";"256.8";"17.4";"0";"13.8";"79.8";"7"
"155";"301000 ";"1995JJ00";"10934";"34";"567.1";"35274";"96.8";"5.2";"204.8";"14.3";"0";"14.1";"72";"7.1"
"156";"301000 ";"1996JJ00";"11636";"34";"556.1";"35702";"91.9";"5";"159.8";"11.5";"0";"13.5";"72.7";"7.6"
"157";"301000 ";"1997JJ00";"10218";"33.4";"533.1";"33527";"89.2";"5.1";"156.6";"11.3";"0";"13.2";"73.4";"7.6"
"158";"301000 ";"1998JJ00";"10148";"31.4";"524";"32638";"88.1";"5.3";"143.7";"10.5";"0";"13";"74.3";"7.7"
"159";"301000 ";"1999JJ00";"9900";"30.3";"517.7";"31894";"86.5";"5.2";"139.2";"10.2";"0";"13";"75.2";"7.8"
"160";"301000 ";"2000JJ00";"10100";"28";"500";"31062";"86.3";"5.6";"157.6";"11.3";"0";"13.1";"76.2";"7.5"
"161";"301000 ";"2001JJ00";"9842";"26.8";"496.2";"30376";"82.7";"5.8";"149.6";"10.8";"0";"13.1";"74.4";"7.6"
"162";"301000 ";"2002JJ00";"9245";"25";"470.6";"28636";"78.2";"5.3";"142.8";"10.3";"0";"12.5";"72.4";"7.3"
"163";"301000 ";"2003JJ00";"9316";"24.5";"462";"28351";"77.8";"5.8";"139";"10";"0";"12.3";"78.4";"6.6"
"164";"301000 ";"2004JJ00";"9420";"24";"462.5";"28354";"76.4";"5.7";"136.7";"9.9";"0";"12";"71.2";"7"
"165";"301000 ";"2005JJ00";"9738";"23.6";"462";"28556";"76.2";"5.8";"133.6";"9.7";"0";"12.1";"69.8";"7.2"
"166";"301000 ";"2006JJ00";"9095";"23.6";"467.4";"28091";"75";"5";"137.1";"9.8";"0";"11.6";"69.8";"7"
"167";"301000 ";"2007JJ00";"9690";"22.5";"484";"28781";"74.6";"4.2";"134.2";"9.6";"0";"11.7";"72.5";"7.2"
"168";"301000 ";"2008JJ00";"10479";"22";"503.7";"29940";"73.5";"2.5";"121.6";"8.8";"0";"11.6";"73.6";"7.2"
"169";"301000 ";"2009JJ00";"10516";"21";"511.4";"29915";"70.4";"1.9";"119.4";"8.6";"0";"11.5";"84.1";"7.1"
"170";"301000 ";"2010JJ00";"12171";"21";"515.4";"31663";"68";"2";"115.6";"8.3";"0";"11.9";"84.8";"7.2"
"171";"301000 ";"2011JJ00";"11057";"20.2";"508.3";"30166";"65.2";"1.3";"112";"8";"0";"11.5";"86.2";"7.5"
"172";"301000 ";"2012JJ00";"10933";"19.7";"502.9";"29749";"61.4";"1";"106.3";"7.6";"0";"11.2";"85.9";"7.2"
"173";"301000 ";"2013JJ00";"10750";"20.3";"513.5";"29921";"61.8";"1";"105.3";"7.6";"0";"11";"90.1";"7.1"
"174";"301000 ";"2014JJ00";"9622";"20.5";"511.2";"28759";"60.3";"1";"109.8";"7.8";"0";"10.6";"82.7";"7.2"
"175";"301000 ";"2015JJ00";"9991";"21.2";"529.4";"29804";"61.1";"0.4";"110.9";"7.9";"0";"10.5";"94.5";"7.1"
"176";"301000 ";"2016JJ00";"9873";"20.8";"542.6";"29837";"59.5";"0.3";"110.2";"7.8";"0";"10.6";"100.1";"7"
"177";"301000 ";"2017JJ00";"10051";"21.1";"541.7";"30099";"57.1";"0.3";"114";"8";"0";"10.5";"99.4";"6.8"
"178";"301000 ";"2018JJ00";"10010";"20.6";"520.4";"29372";"55.2";"0.3";"111.4";"7.8";"0";"10.6";"94.3";"6.5"
"179";"301000 ";"2019JJ00";"10129";"20.4";"514.1";"29275";"54.5";"0.3";"107.7";"7.5";"0";"10.6";"92.3";"6.3"
"180";"300002 ";"1990JJ00";"97467";"24.9";"96.6";"115558";"205.1";"169.2";"4.8";"10";"3608.7";"310.9";"176.6";"36.5"
"181";"300002 ";"1991JJ00";"100342";"24.8";"97.4";"117052";"189.5";"137.5";"5.1";"8.7";"2985.1";"303.2";"166.3";"33.8"
"182";"300002 ";"1992JJ00";"101636";"25";"98.3";"119470";"190";"131.5";"5.3";"8.5";"2361.5";"294.6";"155.9";"30.9"
"183";"300002 ";"1993JJ00";"98784";"26.7";"99.2";"117858";"179.3";"122.8";"5";"8";"1737.9";"285.5";"145.3";"28.1"
"184";"300002 ";"1994JJ00";"102465";"26.3";"100.7";"123278";"164.3";"110.4";"5.3";"7.3";"1114.3";"275.6";"134.6";"25.2"
